timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1678987855089,17426,7. /object_info_4,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,Group_32_test_plan_500_threads 3-275,text,false,,2446,0,14,14,http://5.75.203.123:5005/object_info_4?name=Mikhail&age=32&salary=5000,0,0,17426
1678987765037,107478,2. /user_info_2,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Group_32_test_plan_500_threads 3-227,text,false,,2556,0,14,14,http://5.75.203.123:5005/user_info_2,0,0,1041
1678987863621,8895,6. /object_info_3,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,Group_32_test_plan_500_threads 3-471,text,false,,2446,0,13,13,http://5.75.203.123:5005/object_info_3?name=Mikhail&age=32&salary=4000,0,0,8895
1678987857483,15032,7. /object_info_4,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,Group_32_test_plan_500_threads 3-261,text,false,,2446,0,12,12,http://5.75.203.123:5005/object_info_4?name=Mikhail&age=32&salary=5000,0,0,15032
1678987769731,102785,5. /object_info_2,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Group_32_test_plan_500_threads 3-306,text,false,,2556,0,11,11,http://5.75.203.123:5005/object_info_2?name=Mikhail&age=32&salary=3000,0,0,503
1678987766006,106509,3. /user_info_3,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Group_32_test_plan_500_threads 3-156,text,false,,2556,0,9,9,http://5.75.203.123:5005/user_info_3,0,0,1121
1678987857713,14802,7. /object_info_4,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,Group_32_test_plan_500_threads 3-273,text,false,,2446,0,8,8,http://5.75.203.123:5005/object_info_4?name=Mikhail&age=32&salary=5000,0,0,14802
1678987865636,6880,5. /object_info_2,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,Group_32_test_plan_500_threads 3-335,text,false,,2446,0,8,8,http://5.75.203.123:5005/object_info_2?name=Mikhail&age=32&salary=3000,0,0,6880
1678987857483,15032,7. /object_info_4,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,Group_32_test_plan_500_threads 3-284,text,false,,2446,0,6,6,http://5.75.203.123:5005/object_info_4?name=Mikhail&age=32&salary=5000,0,0,15032
1678987765764,106751,3. /user_info_3,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Group_32_test_plan_500_threads 3-125,text,false,,2556,0,6,6,http://5.75.203.123:5005/user_info_3,0,0,1025
1678987857484,15032,7. /object_info_4,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,Group_32_test_plan_500_threads 3-262,text,false,,2446,0,4,4,http://5.75.203.123:5005/object_info_4?name=Mikhail&age=32&salary=5000,0,0,15032
1678987765373,107143,3. /user_info_3,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Group_32_test_plan_500_threads 3-58,text,false,,2556,0,3,3,http://5.75.203.123:5005/user_info_3,0,0,1079
1678987765892,106624,3. /user_info_3,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Group_32_test_plan_500_threads 3-128,text,false,,2556,0,3,3,http://5.75.203.123:5005/user_info_3,0,0,1050
